method,path,command,domain,scope
POST,/v2/providers/addon-matomo/resources,,matomo,internal
DELETE,/v2/providers/addon-matomo/resources/{addonMatomoId},,matomo,internal
GET,/v4/addon-providers/addon-matomo,,matomo,external
GET,/v4/addon-providers/addon-matomo/addons/{addonMatomoId},GetMatomoInfoCommand,matomo,external
POST,/v4/addon-providers/addon-matomo/addons/{addonMatomoId}/reboot,RebootMatomoCommand,matomo,external
POST,/v4/addon-providers/addon-matomo/addons/{addonMatomoId}/rebuild,RebuildMatomoCommand,matomo,external
GET,/v4/addon-providers/addon-matomo/token/validate,,matomo,internal
POST,/v2/providers/addon-metabase/resources,,metabase,internal
DELETE,/v2/providers/addon-metabase/resources/{addonMetabaseId},,metabase,internal
GET,/v4/addon-providers/addon-metabase/addons/{addonMetabaseId},GetMetabaseInfoCommand,metabase,external
POST,/v4/addon-providers/addon-metabase/addons/{addonMetabaseId}/reboot,RebootMetabaseCommand,metabase,external
POST,/v4/addon-providers/addon-metabase/addons/{addonMetabaseId}/rebuild,RebuildMetabaseCommand,metabase,external
GET,/v4/addon-providers/addon-metabase/addons/{addonMetabaseId}/version/check,CheckMetabaseVersionCommand,metabase,external
POST,/v4/addon-providers/addon-metabase/addons/{addonMetabaseId}/version/update,UpdateMetabaseVersionCommand,metabase,external
GET,/v4/addon-providers/metabase,,metabase,external
POST,/v4/metabase/consumptions,,metabase,internal
POST,/v4/metabase/organisations/{ownerId}/metabase/{addonMetabaseId}/consumption,,metabase,internal
GET,/v4/stats/organisations/{ownerId}/http-status-codes,GetStatusCodeDistributionCommand,metrics,internal
GET,/v4/stats/organisations/{ownerId}/requests,GetHeatMapCommand,metrics,internal
GET,/v4/stats/organisations/{ownerId}/requests-live,StreamRequestsCommand,metrics,internal
GET,/v4/stats/organisations/{ownerId}/resources/{resourceId}/metrics,GetMetricsCommand,metrics,internal
POST,/v4/stats/organisations/{ownerId}/resources/{resourceId}/tokens/read,,metrics,admin-only
POST,/v4/stats/organisations/{ownerId}/tokens/read,,metrics,admin-only
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups,ListNetworkGroupCommand,network_group,external
POST,/v4/networkgroups/organisations/{ownerId}/networkgroups,CreateNetworkGroupCommand,network_group,external
DELETE,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId},DeleteNetworkGroupCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId},GetNetworkGroupCommand,network_group,external
POST,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/external-peers,CreateNetworkGroupExternalPeerCommand,network_group,external
DELETE,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/external-peers/{peerId},DeleteNetworkGroupExternalPeerCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/members,,network_group,external
POST,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/members,CreateNetworkGroupMemberCommand,network_group,external
DELETE,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/members/{memberId},DeleteNetworkGroupMemberCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/members/{memberId},GetNetworkGroupMemberCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers,,network_group,external
POST,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers,,network_group,external
DELETE,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers/{peerId},,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers/{peerId},GetNetworkGroupPeerCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers/{peerId}/wireguard/configuration,GetNetworkGroupWireguardConfigurationCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers/{peerId}/wireguard/configuration/presigned-url,GetNetworkGroupWireguardConfigurationUrlCommand,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/peers/{peerId}/wireguard/configuration/stream,,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId}/stream,,network_group,external
GET,/v4/networkgroups/organisations/{ownerId}/networkgroups/search,SearchNetworkGroupCommand,network_group,external
GET,/v4/otel/gateways,,opentelemetry,admin-only
POST,/v4/otel/gateways,,opentelemetry,admin-only
GET,/v4/otel/organisations/{ownerId}/namespaces,,opentelemetry,admin-only
POST,/v4/otel/organisations/{ownerId}/namespaces,,opentelemetry,admin-only
DELETE,/v4/otel/organisations/{ownerId}/namespaces/{otelId},,opentelemetry,admin-only
POST,/v4/otel/organisations/{ownerId}/namespaces/{otelId}/services,,opentelemetry,admin-only
POST,/v2/providers/addon-otoroshi/resources,,otoroshi,internal
DELETE,/v2/providers/addon-otoroshi/resources/{OtoroshiId},,otoroshi,internal
GET,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId},GetOtoroshiInfoCommand,otoroshi,external
GET,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/config.yaml,GetOtoroshiConfigCommand,otoroshi,external
DELETE,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/networkgroup,DeleteOtoroshiNetworkGroupCommand,otoroshi,external
POST,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/networkgroup,CreateOtoroshiNetworkGroupCommand,otoroshi,external
POST,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/reboot,RebootOtoroshiCommand,otoroshi,external
POST,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/rebuild,RebuildOtoroshiCommand,otoroshi,external
GET,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/version/check,CheckOtoroshiVersionCommand,otoroshi,external
POST,/v4/addon-providers/addon-otoroshi/addons/{OtoroshiId}/version/update,UpdateOtoroshiVersionCommand,otoroshi,external
GET,/v4/addon-providers/otoroshi,,otoroshi,external
GET,/v4/otoroshi/{OtoroshiId},,otoroshi,internal
POST,/v4/otoroshi/consumptions,,otoroshi,internal
POST,/v4/otoroshi/organisations/{ownerId}/otoroshi/{OtoroshiId}/consumption,,otoroshi,internal
POST,/v4/postgresql/{postgreSQLId}/migration/post,,postgresql,admin-only
POST,/v4/postgresql/{postgreSQLId}/migration/pre,,postgresql,admin-only
GET,/v4/postgresql/{postgreSQLId}/migration/privileges,,postgresql,admin-only
GET,/v4/postgresql/{postgreSQLId}/migration/users,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/databases,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/databases/{databaseId},,postgresql,admin-only
PATCH,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/databases/{databaseId},,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/oids,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/oids/databases,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/oids/schemas,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/oids/tables,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users,,postgresql,admin-only
POST,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users,,postgresql,admin-only
DELETE,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId},,postgresql,admin-only
PATCH,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId},,postgresql,admin-only
PATCH,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId}/privileges/databases/{objectId},,postgresql,admin-only
PATCH,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId}/privileges/databases/{objectId}/schemas/{objectId},,postgresql,admin-only
PATCH,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId}/privileges/databases/{objectId}/schemas/{objectId}/tables/{objectId},,postgresql,admin-only
POST,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/{pgUserId}/rotate-password,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/privileges/databases,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/privileges/schemas,,postgresql,admin-only
GET,/v4/postgresql/organisations/{ownerId}/postgresql/{postgreSQLId}/users/privileges/tables,,postgresql,admin-only
POST,/v2/providers/addon-pulsar/resources,,pulsar,internal
DELETE,/v2/providers/addon-pulsar/resources/{pulsarId},,pulsar,internal
GET,/v2/providers/addon-pulsar/resources/{pulsarId},,pulsar,internal
DELETE,/v2/providers/addon-pulsar/resources/{pulsarId}/topics/{topic},,pulsar,internal
GET,/v4/addon-providers/addon-pulsar,,pulsar,internal
POST,/v4/addon-providers/addon-pulsar/addons,,pulsar,internal
DELETE,/v4/addon-providers/addon-pulsar/addons/{pulsarId},,pulsar,internal
GET,/v4/addon-providers/addon-pulsar/addons/{pulsarId},GetPulsarInfoCommand,pulsar,internal
POST,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/create-tenant-and-namespace,,pulsar,internal
DELETE,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/delete-tenant-and-namespace,,pulsar,internal
GET,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/non-persistent-topics,,pulsar,external
DELETE,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/non-persistent-topics/{topic},,pulsar,external
POST,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/non-persistent-topics/{topic},,pulsar,external
POST,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/non-persistent-topics/{topic}/token,,pulsar,external
PUT,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/non-persistent-topics/{topic}/unload,,pulsar,external
PATCH,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/renew-biscuit,,pulsar,internal
GET,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/storage-policies,,pulsar,external
PATCH,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/storage-policies,,pulsar,external
GET,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/topics,,pulsar,external
DELETE,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/topics/{topic},,pulsar,external
POST,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/topics/{topic},,pulsar,external
POST,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/topics/{topic}/token,,pulsar,external
PUT,/v4/addon-providers/addon-pulsar/addons/{pulsarId}/topics/{topic}/unload,,pulsar,external
GET,/v4/addon-providers/addon-pulsar/clusters,,pulsar,internal
POST,/v4/addon-providers/addon-pulsar/clusters,,pulsar,internal
DELETE,/v4/addon-providers/addon-pulsar/clusters/{clusterId},,pulsar,internal
GET,/v4/addon-providers/addon-pulsar/clusters/{clusterId},GetPulsarInfoCommand,pulsar,external
PUT,/v4/addon-providers/addon-pulsar/clusters/{clusterId},,pulsar,internal
GET,/v4/pulsar/organisations/{ownerId}/pulsar/consumptions,,pulsar,internal
GET,/v4/tenants/{tenantId}/ceph-clusters,,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters,,storage,admin-only
DELETE,/v4/tenants/{tenantId}/ceph-clusters/{clusterId},,storage,admin-only
GET,/v4/tenants/{tenantId}/ceph-clusters/{clusterId},,storage,admin-only
PATCH,/v4/tenants/{tenantId}/ceph-clusters/{clusterId},,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-pools,,storage,admin-only
DELETE,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-pools/{poolId},,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-pools/{poolId}/ceph-rbd-namespaces/{namespaceId}/ceph-x-users,,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-pools/{poolId}/init,,storage,admin-only
DELETE,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-pools/{poolId}/namespaces/{namespaceId},,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-rbd-namespaces,,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-x-users,,storage,admin-only
DELETE,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-x-users/{entityId},,storage,admin-only
GET,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/ceph-x-users/{entityId},,storage,admin-only
POST,/v4/tenants/{tenantId}/ceph-clusters/{clusterId}/storages,,storage,admin-only
GET,/v4/tenants/{tenantId}/storages,,storage,admin-only
DELETE,/v4/tenants/{tenantId}/storages/{storageId},,storage,admin-only
GET,/v4/tenants/{tenantId}/storages/{storageId},,storage,admin-only
PATCH,/v4/tenants/{tenantId}/storages/{storageId},,storage,admin-only
GET,/v4/tenants/{tenantId}/products/{productId}/keys,,tokens,admin-only
POST,/v4/tenants/{tenantId}/products/{productId}/keys,,tokens,admin-only
DELETE,/v4/tenants/{tenantId}/products/{productId}/keys/{keyId},,tokens,admin-only
POST,/v4/tenants/{tenantId}/products/{productId}/keys/{keyId}/rotate,,tokens,admin-only
GET,/v4/tenants/{tenantId}/tokens,,tokens,admin-only
POST,/v4/tenants/{tenantId}/tokens,,tokens,admin-only
DELETE,/v4/tenants/{tenantId}/tokens/{tokenId},,tokens,admin-only
GET,/v4/tenants/{tenantId}/tokens/{tokenId},,tokens,admin-only
PUT,/v4/tenants/{tenantId}/tokens/{tokenId}/refresh,,tokens,admin-only
GET,/v4/tokens/revocations,,tokens,admin-only
DELETE,/v4/warp10/cluster/{clusterId}/token/{revocationId},,warp10,admin-only
GET,/v4/warp10/cluster/{clusterId}/token/{revocationId},,warp10,admin-only
POST,/v4/warp10/cluster/{clusterId}/token/read,,warp10,admin-only
GET,/v4/warp10/cluster/{clusterId}/token/revocation,,warp10,admin-only
POST,/v4/warp10/cluster/{clusterId}/token/write,,warp10,admin-only
GET,/v4/warp10/clusters/{clusterId},,warp10,admin-only
GET,/v4/products/zones,ListZoneCommand,zone,external
GET,/v4/products/zones/{zoneName},GetZoneCommand,zone,external
