method,path,command,domain,scope
POST,/v4/infrastructure/deployments,,compute,internal
GET,/v4/infrastructure/deployments/{deploymentId},,compute,internal
DELETE,/v4/infrastructure/virtual-machines/{virtualMachineId},,compute,internal
POST,/v2/providers/config-provider/resources,,configuration_provider,internal
DELETE,/v2/providers/config-provider/resources/{addonId},,configuration_provider,internal
GET,/v2/providers/config-provider/resources/{addonId},,configuration_provider,internal
GET,/v4/addon-providers/config-provider/addons/{addonId},,configuration_provider,external
GET,/v4/addon-providers/config-provider/addons/{addonId}/env,GetConfigProviderCommand,configuration_provider,external
PUT,/v4/addon-providers/config-provider/addons/{addonId}/env,UpdateConfigProviderCommand,configuration_provider,external
GET,/v4/tenants/{tenantId}/container-registry,,container_registry,admin-only
POST,/v4/tenants/{tenantId}/container-registry,,container_registry,admin-only
DELETE,/v4/tenants/{tenantId}/container-registry/{registryId},,container_registry,admin-only
GET,/v4/tenants/{tenantId}/container-registry/{registryId},,container_registry,admin-only
GET,/v4/tenants/{tenantId}/container-registry/{registryId}/tokens,,container_registry,admin-only
POST,/v4/tenants/{tenantId}/container-registry/{registryId}/tokens,,container_registry,admin-only
DELETE,/v4/tenants/{tenantId}/container-registry/{registryId}/tokens/{tokenId},,container_registry,admin-only
POST,/v4/tenants/{tenantId}/container-registry/{registryId}/tokens/{tokenId}/renew,,container_registry,admin-only
POST,/v2/providers/addon-cumulocity/resources,,cumulocity,internal
DELETE,/v2/providers/addon-cumulocity/resources/{addonCumulocityId},,cumulocity,internal
GET,/v4/addon-providers/addon-cumulocity/addons/{addonCumulocityId},,cumulocity,admin-only
GET,/v4/dns/organisations/{tenantId}/audit,,dns,admin-only
DELETE,/v4/dns/organisations/{tenantId}/records,,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/records,,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/resources/{resourceId}/audit,,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/resources/{resourceId}/audit/{recordId},,dns,admin-only
DELETE,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records,,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records,,dns,admin-only
