Source id,Endpoint id,Used,Namespace,Target,Action,Command name (without Command suffix),Comment
remote-cc-api-ovd,[GET] /v4/addon-providers/addon-tardis/organisations/:XXX/addons,false,,,,,
remote-cc-api-ovd,[POST] /v4/addon-providers/addon-tardis/organisations/:XXX/addons,false,,,,,
remote-cc-api-ovd,[POST] /v4/addon-providers/addon-tardis/token/revoke,false,,,,,
remote-cc-api-ovd,[GET] /v4/addon-providers/config-provider/addons/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/addon-providers/config-provider/addons/:XXX/env,true,ConfigProvider,,Get,GetConfigProvider,
remote-cc-api-ovd,[PUT] /v4/addon-providers/config-provider/addons/:XXX/env,true,ConfigProvider,,Update,UpdateConfigProvider,
remote-cc-api-ovd,[GET] /v4/console/settings,false,,,,,
remote-cc-api-ovd,[GET] /v4/console/settings/:XXX,true,UserSetting,,Get,GetUserSetting,
remote-cc-api-ovd,[PUT] /v4/console/settings/:XXX,true,UserSetting,,Update,UpdateUserSetting,
remote-cc-api-ovd,[DELETE] /v4/console/settings/:XXX,true,UserSetting,,Delete,DeleteUserSetting,
remote-cc-api-ovd,[GET] /v4/functions/organisations/:XXX/functions,false,,,,,
remote-cc-api-ovd,[POST] /v4/functions/organisations/:XXX/functions,false,,,,,
remote-cc-api-ovd,[GET] /v4/functions/organisations/:XXX/functions/:XXX,false,,,,,
remote-cc-api-ovd,[PUT] /v4/functions/organisations/:XXX/functions/:XXX,false,,,,,
remote-cc-api-ovd,[DELETE] /v4/functions/organisations/:XXX/functions/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/functions/organisations/:XXX/functions/:XXX/deployments,false,,,,,
remote-cc-api-ovd,[POST] /v4/functions/organisations/:XXX/functions/:XXX/deployments,false,,,,,
remote-cc-api-ovd,[GET] /v4/functions/organisations/:XXX/functions/:XXX/deployments/:XXX,false,,,,,
remote-cc-api-ovd,[PUT] /v4/functions/organisations/:XXX/functions/:XXX/deployments/:XXX,false,,,,,
remote-cc-api-ovd,[POST] /v4/functions/organisations/:XXX/functions/:XXX/deployments/:XXX,false,,,,,
remote-cc-api-ovd,[DELETE] /v4/functions/organisations/:XXX/functions/:XXX/deployments/:XXX,false,,,,,
remote-cc-api-ovd,[POST] /v4/iam/organisations/:XXX/iam/materia-db-kv/:XXX/tokens,false,,,,,
remote-cc-api-ovd,[GET] /v4/iam/organisations/:XXX/iam/tokens,false,,,,,
remote-cc-api-ovd,[GET] /v4/iam/organisations/:XXX/iam/tokens/:XXX,false,,,,,
remote-cc-api-ovd,[DELETE] /v4/iam/organisations/:XXX/iam/tokens/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/iam/tokens/revocations,false,,,,,
remote-cc-api-ovd,[GET] /v4/load-balancers/organisations/:XXX/addons/:XXX/load-balancers/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/load-balancers/organisations/:XXX/applications/:XXX/load-balancers/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/logs/organisations/:XXX/applications/:XXX/accesslogs,false,,,,,
remote-cc-api-ovd,[GET] /v4/logs/organisations/:XXX/applications/:XXX/logs,false,,,,,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups,true,NetworkGroup,,List,ListNetworkGroup,
remote-cc-api-ovd,[POST] /v4/networkgroups/organisations/:XXX/networkgroups,true,NetworkGroup,,Create,CreateNetworkGroup,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX,true,NetworkGroup,,Get,GetNetworkGroup,
remote-cc-api-ovd,[DELETE] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX,true,NetworkGroup,,Delete,DeleteNetworkGroup,
remote-cc-api-ovd,[POST] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/external-peers,true,NetworkGroup,ExternalPeer,List,ListNetworkGroupExternalPeer,
remote-cc-api-ovd,[DELETE] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/external-peers/:XXX,true,NetworkGroup,ExternalPeer,Delete,DeleteNetworkGroupExternalPeer,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/members,false,,,,,
remote-cc-api-ovd,[POST] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/members,true,NetworkGroup,Member,List,ListNetworkGroupMember,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/members/:XXX,false,,,,,
remote-cc-api-ovd,[DELETE] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/members/:XXX,true,NetworkGroup,Member,Get,GetNetworkGroupMember,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/peers,false,,,,,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/peers/:XXX,false,,,,,
remote-cc-api-ovd,[DELETE] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/peers/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/peers/:XXX/wireguard/configuration,true,NetworkGroup,WireguardConfiguration,Get,GetNetworkGroupWireguardConfiguration,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/peers/:XXX/wireguard/configuration/stream,false,,,,,
remote-cc-api-ovd,[GET] /v4/networkgroups/organisations/:XXX/networkgroups/:XXX/stream,false,,,,,
remote-cc-api-ovd,[GET] /v4/orchestration/organisations/:XXX/applications/:XXX/deployments,false,,,,,
remote-cc-api-ovd,[GET] /v4/orchestration/organisations/:XXX/applications/:XXX/deployments/:XXX,true,Deployment,,Get,GetDeployment,
remote-cc-api-ovd,[GET] /v4/orchestration/organisations/:XXX/applications/:XXX/instances,true,Instance,,List,ListInstance,
remote-cc-api-ovd,[GET] /v4/orchestration/organisations/:XXX/applications/:XXX/instances/:XXX,true,Instance,,Get,GetInstance,
remote-cc-api-ovd,[GET] /v4/products/zones,true,Zone,,List,ListZone,
remote-cc-api-ovd,[GET] /v4/products/zones/:XXX,false,,,,,
remote-cc-api-ovd,[GET] /v4/stats/organisations/:XXX/resources/:XXX/metrics,true,Metrics,,Get,GetMetrics,
local-cc-api-v2,[GET] /v2/backups/:XXX/:XXX,true,Backup,,List,ListBackup,Database au lieu de Addon car c'est un truc qui ne fonctionne que pour certains Addon (juste une idée)
local-cc-api-v2,[GET] /v2/metrics/read/:XXX,true,WarpToken,,Get,GetWarpToken,On fusionne et on a un param (access logs ou metrics)
local-cc-api-v2,[GET] /v2/w10tokens/accessLogs/read/:XXX,true,WarpToken,,Get,GetWarpToken,On fusionne et on a un param (access logs ou metrics)
remote-cc-api-v2,[POST] /v2/users,false,,,,,
local-cc-api-v2,[GET] /v2/logs/:XXX,true,Log,,List,ListLog,Va disparaitre bientot
local-cc-api-v2,[GET] /v2/logs/:XXX/drains,true,LogDrain,,List,ListLogDrain,
local-cc-api-v2,[POST] /v2/logs/:XXX/drains,true,LogDrain,,Create,CreateLogDrain,
local-cc-api-v2,[DELETE] /v2/logs/:XXX/drains/:XXX,true,LogDrain,,Delete,DeleteLogDrain,
local-cc-api-v2,[PUT] /v2/logs/:XXX/drains/:XXX/state,true,LogDrain,,Update,UpdateLogDrain,
local-cc-api-v2,[POST] /v2/notifications/webhooks/:XXX,true,Notification,Webhook,Create,CreateWebhookNotification,
local-cc-api-v2,[GET] /v2/notifications/webhooks/:XXX,true,Notification,Webhook,List,ListWebhookNotification,
local-cc-api-v2,[PUT] /v2/notifications/webhooks/:XXX/:XXX,false,,,,,
local-cc-api-v2,[DELETE] /v2/notifications/webhooks/:XXX/:XXX,true,Notification,Webhook,Delete,DeleteWebhookNotification,
local-cc-api-v2,[POST] /v2/notifications/emailhooks/:XXX,true,Notification,Email,Create,CreateEmailNotification,
local-cc-api-v2,[GET] /v2/notifications/emailhooks/:XXX,true,Notification,Email,List,ListEmailNotification,
local-cc-api-v2,[PUT] /v2/notifications/emailhooks/:XXX/:XXX,false,,,,,
local-cc-api-v2,[DELETE] /v2/notifications/emailhooks/:XXX/:XXX,true,Notification,Email,Delete,DeleteEmailNotification,
local-cc-api-v2,[GET] /v2/notifications/info/events,true,Notification,Info,Get,GetNotificationInfo,À fusionner
local-cc-api-v2,[GET] /v2/notifications/info/webhookformats,true,Notification,Info,Get,GetNotificationInfo,À fusionner
local-cc-api-v2,[GET] /v2/providers/:XXX/:XXX,true,Elasticsearch,Info,Get,GetElasticsearchInfo,
local-cc-api-v2,[GET] /v2/providers/es-addon/tmp/services-flavors,true,Product,ElasticsearchInfo,Get,GetProductElasticsearchInfo,
local-cc-api-v2,[GET] /v2/saas/heptapod/:XXX/heptapod.host/price-prevision,true,Heptapod,PriceEstimation,Get,GetHeptapodPriceEstimation,
remote-cc-api-v2,[POST] /v2/authenticate,false,,,,,
remote-cc-api-v2,[POST] /v2/authorize,false,,,,,
remote-cc-api-v2,[GET] /v2/session/login,false,,,,,
remote-cc-api-v2,[POST] /v2/session/login,false,,,,,
remote-cc-api-v2,[GET] /v2/session/signup,false,,,,,
remote-cc-api-v2,[GET] /v2/session/from/:XXX/signup,false,,,,,
remote-cc-api-v2,[POST] /v2/session/mfa_login,false,,,,,
remote-cc-api-v2,[GET] /v2/sessions/login,false,,,,,
remote-cc-api-v2,[POST] /v2/sessions/login,false,,,,,
remote-cc-api-v2,[GET] /v2/sessions/signup,false,,,,,
remote-cc-api-v2,[GET] /v2/sessions/from/:XXX/signup,false,,,,,
remote-cc-api-v2,[POST] /v2/sessions/mfa_login,false,,,,,
remote-cc-api-v2,[GET] /v2/validation/vat/:XXX,false,,,,,
remote-cc-api-v2,[GET] /v2/github/signup,false,,,,,
remote-cc-api-v2,[POST] /v2/github/signup,false,,,,,
remote-cc-api-v2,[GET] /v2/github/applications,true,Github,Application,List,ListGithubApplication,
remote-cc-api-v2,[GET] /v2/github/emails,false,,,,,
remote-cc-api-v2,[GET] /v2/github/keys,true,SshKey,Github,List,ListGithubSshKey,Handle 400 => tableau vide
remote-cc-api-v2,[GET] /v2/github/username,true,Github,Username,Get,GetGithubUsername,
remote-cc-api-v2,[GET] /v2/github/callback,false,,,,,
remote-cc-api-v2,[GET] /v2/github/login,false,,,,,
remote-cc-api-v2,[GET] /v2/github/link,false,,,,,
remote-cc-api-v2,[DELETE] /v2/github/link,true,Github,Account,Unlink,UnlinkGithubAccount,
remote-cc-api-v2,[POST] /v2/github/redeploy,false,,,,,
remote-cc-api-v2,[GET] /v2/github,true,Github,LinkTransactionId,Get,GetGithubLinkTransactionId,
remote-cc-api-v2,[GET] /v2/oauth/authorize,false,,,,,
remote-cc-api-v2,[POST] /v2/oauth/authorize,false,,,,,
remote-cc-api-v2,[GET] /v2/oauth/rights,true,,,,,Qui utilise ça ?
remote-cc-api-v2,[GET] /v2/oauth/login_data,false,,,,,
remote-cc-api-v2,[POST] /v2/oauth/access_token,false,,,,,
remote-cc-api-v2,[POST] /v2/oauth/access_token_query,false,,,,,
remote-cc-api-v2,[POST] /v2/oauth/request_token,false,,,,,
remote-cc-api-v2,[POST] /v2/oauth/request_token_query,false,,,,,
remote-cc-api-v2,[GET] /v2/oidc/:XXX/callback,false,,,,,
remote-cc-api-v2,[GET] /v2/oidc/:XXX/login,false,,,,,
remote-cc-api-v2,[GET] /v2/oidc/:XXX/signup,false,,,,,
remote-cc-api-v2,[POST] /v2/oidc/:XXX/signup,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX,true,Organisation,,Get,GetOrganisation,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX,true,Organisation,,Update,UpdateOrganisation,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX,true,Organisation,,Delete,DeleteOrganisation,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/deployments,true,Deployment,,List,ListDeployment,On regroupe
